,Review #,Brand,Variety,Group,Style,Country,Stars,Top Ten
0,2580,New Touch,T's Restaurant Tantanmen ,gr1,Cup,Japan,3.75,
1,2579,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,gr1,Pack,Taiwan,1,
2,2578,Nissin,Cup Noodles Chicken Vegetable,gr1,Cup,USA,2.25,
3,2577,Wei Lih,GGE Ramen Snack Tomato Flavor,gr1,Pack,Taiwan,2.75,
4,2576,Ching's Secret,Singapore Curry,gr1,Pack,India,3.75,
5,2575,Samyang Foods,Kimchi song Song Ramen,gr2,Pack,South Korea,4.75,
6,2574,Acecook,Spice Deli Tantan Men With Cilantro,gr2,Cup,Japan,4,
7,2573,Ikeda Shoku,Nabeyaki Kitsune Udon,gr2,Tray,Japan,3.75,
8,2572,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,gr2,Pack,Japan,0.25,
9,2571,KOKA,The Original Spicy Stir-Fried Noodles,gr2,Pack,Singapore,2.5,
